05/15/2020 01:46:11 PM SimCADO imported
05/15/2020 01:46:11 PM UserCommands object created
05/15/2020 01:46:11 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:11 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:11 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:11 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:11 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:11 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:12 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:12 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:12 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:12 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:12 PM [OpticalTrain] Generating an optical train
05/15/2020 01:46:12 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:12 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:13 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:13 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:13 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:13 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:13 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:13 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:13 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:13 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:13 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:13 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:14 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:14 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:14 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:14 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:14 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:14 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:14 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:14 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:14 PM [gen_all_tc] Generating AO module mirror emission photons
05/15/2020 01:46:14 PM [_gen_all_tc] Generating telescope mirror emission photons
05/15/2020 01:46:14 PM [_gen_all_tc] Generating atmospheric emission photons
05/15/2020 01:46:15 PM [_gen_all_tc] GGenerating optical path for source photons
05/15/2020 01:46:16 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:16 PM [UserCommands] lam_bin_edges found
